MODEL	CHECK	DATE	CHAMMI	C-HPA	C-WTC	C-CP	HPA	IDR17	JUMP-A	JUMP-C	CellPHIE	RBC
convnext	checkpoint_90	08/11/2026	0.46482209166645444	0.5414878240969581	0.5755782506133561	0.277400200289049	0	0	0	0	0	0
convnext	checkpoint_30	08/11/2026	0.48305840245138915	0.5710248881708838	0.5998158926608909	0.27833442652239276	0	0	0	0	0	0
convnext	checkpoint_100	08/11/2026	0.46525746450505673	0.5424802709662592	0.5752441741965549	0.2780479483523562	0	0	0	0	0	0
convnext	checkpoint_60	08/11/2026	0.46469153487826603	0.5366671994184242	0.5817718034329783	0.2756356017833956	0	0	0	0	0	0
convnext	checkpoint_40	08/11/2026	0.47300958313576696	0.547822996120964	0.59364088784279	0.27756486544354686	0	0	0	0	0	0
convnext	checkpoint_70	08/11/2026	0.4638983190768438	0.540561313053645	0.5757749761236314	0.2753586680532552	0	0	0	0	0	0
convnext	checkpoint_20	08/11/2026	0.49156285528965743	0.5794673661217864	0.62752011459145	0.26770108515573593	0	0	0	0	0	0
convnext	checkpoint_50	08/11/2026	0.46260190205700763	0.547406340049424	0.5668436243749793	0.27355574174661973	0	0	0	0	0	0
convnext	checkpoint_0	08/11/2026	0.4519931584879519	0.47107609964902664	0.594716867158954	0.290186508655875	0	0	0	0	0	0
convnext	checkpoint_10	08/11/2026	0.4478834614295503	0.5174752385675254	0.554761851469169	0.27141329425195654	0	0	0	0	0	0
convnext	checkpoint_80	08/11/2026	0.4631391232506458	0.5401417565794999	0.5723080379159272	0.2769675752565102	0	0	0	0	0	0
finetuned	checkpoint_90	08/11/2026	0.46570363541346876	0.5622823461000905	0.5639294152298594	0.2708991449104563	0	0	0	0	0	0
finetuned	checkpoint_30	08/11/2026	0.47590080163648	0.5801593222087996	0.5731254580122934	0.274417624688347	0	0	0	0	0	0
finetuned	checkpoint_100	08/11/2026	0.4665278233154429	0.5608125573591192	0.5663670308785881	0.27240388170862156	0	0	0	0	0	0
finetuned	checkpoint_60	08/11/2026	0.4692532801005514	0.5673683875208353	0.5682258347667842	0.27216561801403466	0	0	0	0	0	0
finetuned	checkpoint_40	08/11/2026	0.4733061134357898	0.5726108290625299	0.5727133932867235	0.2745941179581161	0	0	0	0	0	0
finetuned	checkpoint_70	08/11/2026	0.4690415457003412	0.5666044658451441	0.5680709507515086	0.27244922050437076	0	0	0	0	0	0
finetuned	checkpoint_20	08/11/2026	0.4827426931654877	0.5851754288376727	0.5895910976731237	0.2734615529856666	0	0	0	0	0	0
finetuned	checkpoint_50	08/11/2026	0.4714348281552501	0.5708392046579951	0.5697358974882033	0.27372938231955213	0	0	0	0	0	0
finetuned	checkpoint_0	08/11/2026	0.5201256610133703	0.5975132968360855	0.6851624492765919	0.27770123692743354	0	0	0	0	0	0
finetuned	checkpoint_10	08/11/2026	0.465305912657108	0.59884777816874	0.5309605383034921	0.266109421499092	0	0	0	0	0	0
finetuned	checkpoint_80	08/11/2026	0.4686456922975066	0.5655110595411192	0.569662615757416	0.27076340159398443	0	0	0	0	0	0
