MODEL	CHECK	DATE	CHAMMI	C-HPA	C-WTC	C-CP	HPA	IDR17	JUMP-A	JUMP-C	CellPHIE	RBC
lora	checkpoint_90	08/11/2026	0.45025335225171675	0.49581729765824745	0.5854070201605066	0.26953573893639626	0	0	0	0	0	0
lora	checkpoint_30	08/11/2026	0.4652064411550742	0.5171555069680008	0.6131079506265479	0.26535586587067395	0	0	0	0	0	0
lora	checkpoint_100	08/11/2026	0.4472723459698893	0.4960284462667743	0.5757960887377506	0.26999250290514304	0	0	0	0	0	0
lora	checkpoint_60	08/11/2026	0.45665860210469256	0.5062585724299895	0.5951658627894643	0.26855137109462385	0	0	0	0	0	0
lora	checkpoint_40	08/11/2026	0.4608365200153843	0.5134540857437153	0.6023825808071351	0.26667289349530243	0	0	0	0	0	0
lora	checkpoint_70	08/11/2026	0.45550435880000767	0.5022186979435886	0.5946424801712245	0.2696518982852101	0	0	0	0	0	0
lora	checkpoint_20	08/11/2026	0.45960202763368474	0.5203592894204352	0.5897378604343297	0.26870893304628934	0	0	0	0	0	0
lora	checkpoint_50	08/11/2026	0.45998097529085996	0.5118765081909376	0.599452486659369	0.26861393102227343	0	0	0	0	0	0
lora	checkpoint_0	08/11/2026	0.5201256610133703	0.5975132968360855	0.6851624492765919	0.27770123692743354	0	0	0	0	0	0
lora	checkpoint_10	08/11/2026	0.4635186809655513	0.5435618174350834	0.5819466381166487	0.2650475873449218	0	0	0	0	0	0
lora	checkpoint_80	08/11/2026	0.45034846701665837	0.49729798106079764	0.5841353565391117	0.2696120634500658	0	0	0	0	0	0
finetuned	checkpoint_90	08/11/2026	0.46570363541346876	0.5622823461000905	0.5639294152298594	0.2708991449104563	0	0	0	0	0	0
finetuned	checkpoint_30	08/11/2026	0.47590080163648	0.5801593222087996	0.5731254580122934	0.274417624688347	0	0	0	0	0	0
finetuned	checkpoint_100	08/11/2026	0.4665278233154429	0.5608125573591192	0.5663670308785881	0.27240388170862156	0	0	0	0	0	0
finetuned	checkpoint_60	08/11/2026	0.4692532801005514	0.5673683875208353	0.5682258347667842	0.27216561801403466	0	0	0	0	0	0
finetuned	checkpoint_40	08/11/2026	0.4733061134357898	0.5726108290625299	0.5727133932867235	0.2745941179581161	0	0	0	0	0	0
finetuned	checkpoint_70	08/11/2026	0.4690415457003412	0.5666044658451441	0.5680709507515086	0.27244922050437076	0	0	0	0	0	0
finetuned	checkpoint_20	08/11/2026	0.4827426931654877	0.5851754288376727	0.5895910976731237	0.2734615529856666	0	0	0	0	0	0
finetuned	checkpoint_50	08/11/2026	0.4714348281552501	0.5708392046579951	0.5697358974882033	0.27372938231955213	0	0	0	0	0	0
finetuned	checkpoint_0	08/11/2026	0.5201256610133703	0.5975132968360855	0.6851624492765919	0.27770123692743354	0	0	0	0	0	0
finetuned	checkpoint_10	08/11/2026	0.465305912657108	0.59884777816874	0.5309605383034921	0.266109421499092	0	0	0	0	0	0
finetuned	checkpoint_80	08/11/2026	0.4686456922975066	0.5655110595411192	0.569662615757416	0.27076340159398443	0	0	0	0	0	0
