MODEL	CHECK	DATE	CHAMMI	C-HPA	C-WTC	C-CP	HPA	IDR17	JUMP-A	JUMP-C	CellPHIE	RBC
scratch	checkpoint_90	08/11/2026	0.3654919190598798	0.44798472748773516	0.4100277404283277	0.23846328926357663	0	0	0	0	0	0
scratch	checkpoint_30	08/11/2026	0.36839138329737775	0.4436966398989051	0.42352792712993614	0.2379495828632919	0	0	0	0	0	0
scratch	checkpoint_100	08/11/2026	0.3767217967268805	0.45034058862198356	0.4427623884078411	0.23706241315081686	0	0	0	0	0	0
scratch	checkpoint_60	08/11/2026	0.36591773233957553	0.4453514669697948	0.415000035110264	0.23740169493866795	0	0	0	0	0	0
scratch	checkpoint_40	08/11/2026	0.22759510050871146	0.27911010160661687	0.19537479781948056	0.20830040210003697	0	0	0	0	0	0
scratch	checkpoint_70	08/11/2026	0.36680959442703137	0.436700741356276	0.4206716573419242	0.243056384582894	0	0	0	0	0	0
scratch	checkpoint_20	08/11/2026	0.3676430622670139	0.46010194586804565	0.40871181370790804	0.23411542722508785	0	0	0	0	0	0
scratch	checkpoint_50	08/11/2026	0.29443748684420457	0.36087690874017686	0.29577714321191145	0.22665840858052536	0	0	0	0	0	0
scratch	checkpoint_0	08/11/2026	0.3649697963115104	0.47288831150880617	0.37374024676036793	0.2482808306653569	0	0	0	0	0	0
scratch	checkpoint_10	08/11/2026	0.36418049952992676	0.4608730875370314	0.38993107566579605	0.24173733538695305	0	0	0	0	0	0
scratch	checkpoint_80	08/11/2026	0.36830453061063023	0.44127237399802277	0.4308081337145449	0.23283308411932302	0	0	0	0	0	0
finetuned	checkpoint_90	08/11/2026	0.46570363541346876	0.5622823461000905	0.5639294152298594	0.2708991449104563	0	0	0	0	0	0
finetuned	checkpoint_30	08/11/2026	0.47590080163648	0.5801593222087996	0.5731254580122934	0.274417624688347	0	0	0	0	0	0
finetuned	checkpoint_100	08/11/2026	0.4665278233154429	0.5608125573591192	0.5663670308785881	0.27240388170862156	0	0	0	0	0	0
finetuned	checkpoint_60	08/11/2026	0.4692532801005514	0.5673683875208353	0.5682258347667842	0.27216561801403466	0	0	0	0	0	0
finetuned	checkpoint_40	08/11/2026	0.4733061134357898	0.5726108290625299	0.5727133932867235	0.2745941179581161	0	0	0	0	0	0
finetuned	checkpoint_70	08/11/2026	0.4690415457003412	0.5666044658451441	0.5680709507515086	0.27244922050437076	0	0	0	0	0	0
finetuned	checkpoint_20	08/11/2026	0.4827426931654877	0.5851754288376727	0.5895910976731237	0.2734615529856666	0	0	0	0	0	0
finetuned	checkpoint_50	08/11/2026	0.4714348281552501	0.5708392046579951	0.5697358974882033	0.27372938231955213	0	0	0	0	0	0
finetuned	checkpoint_0	08/11/2026	0.5201256610133703	0.5975132968360855	0.6851624492765919	0.27770123692743354	0	0	0	0	0	0
finetuned	checkpoint_10	08/11/2026	0.465305912657108	0.59884777816874	0.5309605383034921	0.266109421499092	0	0	0	0	0	0
finetuned	checkpoint_80	08/11/2026	0.4686456922975066	0.5655110595411192	0.569662615757416	0.27076340159398443	0	0	0	0	0	0
